Table,en-UK,ru-RU,zh-CN
EditorTab_AdNetworkSettings_IsApiMode,API mode,Режим API,API 模式
EditorTab_AdNetworkSettings_IsVersionCode,Version code,Код версии,版本代码
EditorTab_AdNetworkSettings_IsAppGenre,Application Genre,Жанр приложения,应用游戏类型
EditorTab_AdNetworkSettings_IsPackageType,Package type,Тип упаковки,包类型
EditorTab_AdNetworkSettings_TikTokTencentTitle,TikTok & Tencent,TikTok и Tencent,TikTok（抖音）和 Tencent（腾讯）
EditorTab_AdNetworkSettings_TttOrientation,Orientation,Ориентация,布局方向
EditorTab_AdNetworkSettings_TikTokTitle,TikTok,TikTok,TikTok（抖音）
EditorTab_AdNetworkSettings_TtLanguage,Supported Languages,Поддерживаемые языки,支持的语言
,,,
Sections_Settings_Name,Settings,Настройки,设置
Sections_Assets_Name,Assets,Ассеты,资源
Sections_Code_Name,Code,Код,代码
Sections_Develop_Name,Develop,Разработка,开发
Sections_Playground_Name,Playground,Playground,Playground
Sections_Expert_Name,Expert,Эксперт,专家
Sections_SizeBreakdown_Name,Size breakdown,Анализ размера,大小细分
Sections_PluginUpdates_Name,Plugin Updates,Доступно обновление,插件更新
Sections_BuildButton,Build {0},Собрать {0},构建 {0}
Sections_CancelBuildButton,Cancel Build,Прервать,取消构建
,,,
EditorTab_Basic_Name,Basic,Основные,基本
EditorTab_Advanced_Name,Advanced,Дополнительные,高级
EditorTab_AdNetworkSettings_Name,Ad Network,Рекламные сети,广告网络
EditorTab_Account_Name,Account,Аккаунт,账户
,,,
Basic_ScenesInBuild,Scenes in Build,Сцены в сборке,构建中的场景
Basic_StartupScene,Startup Scene,Стартовая сцена,启动场景
Basic_ExportType,Export type,Тип экспорта,导出类型
Basic_ExportType_Resources,Resources,Ресурсы,Resources
Basic_ExportType_StreamingAssets,Streaming Assets,Streaming Assets,Streaming Assets
Basic_ProjectSettings,Project settings,Настройки проекта,项目设置
Basic_ProjectSettings_AutoInstantiate,Auto-instantiate Prefabs,Автораспаковка префабов,自动实例化预置
Basic_ProjectSettings_OptimiseSize,Optimise build size,Оптимизировать размер билда,优化构建大小
,,,
Universal_Browse,Browse,Обзор,浏览
Universal_Cancel,Cancel,Отмена,取消
,,,
Advanced_GameSettings,Game settings,Настройки игры,游戏设置
Advanced_UsePlayerPrefs,Use PlayerPrefs,Применить PlayerPrefs,使用 PlayerPrefs
Advanced_CodeMinification,Code minification,Минификация кода,代码最简化
Advanced_CompressResources,Compress resources,Сжатие ресурсов,压缩资源
Advanced_DeadCodeElimination,Eliminate dead code,Исключить неиспользуемый код (DCE),清除死代码
Advanced_GenericCheck,Additional Generic Check,Проверка C# Generic-ов,额外C#泛型检查
Advanced_DisableAntiAliasing,Force disable Anti Aliasing,Отключить сглаживание,强制禁用抗锯齿
Advanced_DCE_RootClasses,DCE root classes,Принудительно сохраняемые классы при DCE,DCE 根类
Advanced_DCE_RootClasses_Tooltip,Comma separated list of fully specified class names.,"Список полностью заданных имен классов, разделенные запятой.",完全指定类名的以逗号分隔的列表。
Advanced_Preloader,Preloader,Экран загрузки,预加载程序
Advanced_Preloader_Active,Active,Использовать,已启用
Advanced_Preloader_Icon,Preloader Icon,Иконка загрузки,预加载程序图标
Advanced_Preloader_BrowseIconTitle,Choose Path to Preloader Icon,Выберите путь к иконке,选择预加载程序图标的路径
Advanced_Preloader_Background,Preloader Background,Загрузочный фон,预加载程序背景
Advanced_Preloader_BrowseBackgroundTitle,Choose Path to Preloader Background,Выберите путь к изображению,选择预加载程序背景的路径
Advanced_Tools,Tools and Binaries,Инструменты сборки,工具和二进制文件
Advanced_Tools_Msbuild,MSBuild Tools,MSBuild инструменты,MSBuild 工具
Advanced_Tools_BrowseMsbuildTitle,Choose Path to MSBuild Tools,Выберите путь к MSBuild инструментам,选择 MSBuild 工具的路径
,,,
Account_Account,Account,Аккаунт,账户
Account_SignedWithEmail,You are signed in with email {0},Вы вошли в систему с адресом электронной почты {0},您已使用电子邮箱登录 {0}
Account_SignOut,Sign out,Выход,退出
Account_CopyToken,Copy token,Скопировать токен,复制令牌
,,,
LoginForm_SignInAsking,Sign in to use Luna Playable ,"Войдите, чтобы использовать Luna Playable",登录以使用 Luna Playable
LoginForm_Email,Email,Электронная почта,电子邮件
LoginForm_Password,Password,Пароль,密码
LoginForm_ForgotPassword,Forgot your password?,Забыли Ваш пароль?,忘记密码？
LoginForm_SignIn,Sign in,Войти,登录
LoginForm_SignInWithGoogle,Sign in with Google,Войти с помощью Google,使用 Google 账户登录
LoginForm_SsoWaitingScreenMessage,Please sign in using the browser,"Пожалуйста, авторизуйтесь в браузере",请使用浏览器登录
,,,
MultiColumnTree_Name,Name,Имя,名称
MultiColumnTree_Size,Size,Размер,尺寸
MultiColumnElement_ExpandAll,Expand All,Расширить все,全部展开
MultiColumnElement_CollapseAll,Collapse All,Свернуть все,全部折叠
,,,
Assets_AssetsIncludedExcludeTab,Assets,Ассеты,资源
Assets_TexturesTab,Textures,Текстуры,纹理
Assets_SoundsTab,Sounds,Звуки,音效
Assets_FontsTab,Fonts,Шрифты,字体
Assets_MeshesTab,Meshes,Меши,网格
Assets_AnimationsTab,Animations,Анимации,动画
,,,
InclExclAssets_ForceExclude,Force-exclude Assets,Принудительно исключить ассеты,强制排除资源
InclExclAssets_ForceInclude,Force-include Assets,Принудительно включить ассеты,强制包含资源
,,,
TexturesTab_DefaultSettings,Default Texture settings,Настройки текстур по умолчанию,默认纹理设置
TexturesTab_MaxSize,Max size,Максимальный размер,最大尺寸
TexturesTab_DimensionsSeparator,x,x,x
TexturesTab_Pixels,pixels,пикселей,像素
TexturesTab_Format,Format,Формат,格式
TextureTab_TextureFormatDefault,Default,По умолчанию,默认
TexturesTab_Quality,Quality,Качество,质量
TexturesTab_Compression,Compression,Компрессия,压缩
TextureTab_CompressionNone,None,Ничего,无
TexturesTab_CustomScript,Custom script,Скрипт пользователя,自定义脚本
TexturesTab_CustomScriptExtension,Custom script extension,Расширение скрипта,自定义脚本扩展
TexturesTab_PerTextureSettings,Per-texture settings,Настройки текстуры,逐纹理设置
TexturesTab_WEBPWarning,WebP requires iOS 14 or higher,WebP требуется iOS 14 или выше,WebP 需要 iOS 14 或更高版本
TexturesTab_OverrideSettings, {0} Texture settings, {0} Настройки текстуры, {0} 纹理设置
,,,
SoundsTab_DefaultSoundSettings,Default Sound settings,Настройки звука по умолчанию,默认音效设置
SoundsTab_Format,Format,Формат,格式
SoundsTab_DefaultChannel,Default,По умолчанию,默认
SoundsTab_Bitrate,Bitrate,Битрейт,比特率
SoundsTab_BitrateSpeed,K,К,K
SoundsTab_CustomScript,Custom script,Скрипт пользователя,自定义脚本
SoundsTab_CustomScriptExtension,Custom script extension,Расширение скрипта,自定义脚本扩展
SoundsTab_PerTextureSettings,Per-sound settings,Настройки звука,逐音效设置
SoundsTab_Cropping,Cropping,Обрезать,剪裁
SoundsTab_StartCroppingTime,from,с,从
SoundsTab_EndCroppingTime,to,до,到
SoundsTab_Play,Play,Воспроизвести,播放
SoundsTab_Stop,Stop,Остановить,停止
SoundTab_OverrideSettings,{0} Sound settings, {0} Настройки звука,{0} 音效设置
,,,
FontTab_DefaultFontSettings,Default Font settings,Настройки шрифта по умолчанию,默认字体设置
FontTab_Alphabet,Alphabet,Алфавит,字母表
FontTab_GlyphSize,Glyph size,Размер символа,字形大小
FontTab_TextureSize,Texture size,Размер текстуры,纹理大小
FontTab_DimensionsSeparator,x,x,x
FontTab_Pixels,pixels,пикселей,像素
FontTab_PerFontSettings,Per-font settings,Настройки шрифта,逐字体设置
FontTab_OverrideSettings,{0} Font settings,{0} Настройки шрифта,{0} 字体设置
,,,
Meshes_DefaultMeshSettings,Default Mesh settings,Настройки меша по умолчанию,默认网格设置
Meshes_PerMeshSettings,Per-mesh settings,Настройки меша,逐网格设置
Meshes_HalfPrecision,Store mesh in Half-precision floating-point format ,Формат с плавающей точкой половинной точности,以半精度浮点格式存储网格
Meshes_HalfPrecisionShort,Use half-precision floats,Плавающая точка половинной точности,使用半精度浮点数
Meshes_OverrideSettings,{0} Mesh settings,{0} Настройки меша,{0} 网格设置
,,,
Animations_DefaultAnimationSettings,Default Animation settings,Настройки анимации по умолчанию,默认动画设置
Animations_PerAnimationSettings,Per-animation settings,Настройки анимации,逐动画设置
Animations_HalfPrecision,Store animation in Half-precision floating-point format ,Формат с плавающей точкой половинной точности,以半精度浮点格式存储动画
Animations_HalfPrecisionShort,Use half-precision floats,Число половинной точности,使用半精度浮点数
Animations_OverrideSettings,{0} Animation settings,{0} Настройки анимации,{0} 动画设置
,,,
Code_DiagnosticsTab,Diagnostics,Диагностика,诊断
Code_ExclusionsTab,Exclusions,Исключения,排除
Code_StubsTab,Stubs,Стабы,存根
Code_ExternalSourcesTab,External Sources,Внешние источники,外部来源
Code_ScriptingDefinesTab,Scripting Defines,Scripting Defines,脚本处理定义
,,,
DiagnosticsTab_DefaultMessage,"No diagnostics, hit 'Run Diagnostics'","Нет диагностики, нажмите 'Запустить диагностику'",没有诊断，点击 '运行诊断'
DiagnosticsTab_CompilingMessage,Compiling solution...,Компиляция решения ...,正在编译解决方案...
DiagnosticsTab_CompiledMessage,Solution compiled successfully!,Решение скомпилировалось успешно!,解决方案编译成功!
DiagnosticsTab_GatheringMessage,Gathering compilation diagnostics...,Сбор диагностики компиляции ...,正在收集编译诊断...
DiagnosticsTab_ErrorMessage,"Whoops, something went wrong :(","Упс, что-то пошло не так :(",糟糕，出错了:(
DiagnosticsTab_CleanMessage,No compilation errors found,Не найдено ни одной ошибки компиляции,未发现编译错误
DiagnosticsTab_ConsoleMessage_CategoryDuplicate,Compilation panel: Can't add error code {0} to category: '{1}' as it is already assigned to '{2}',"Панель компиляции: невозможно добавить код ошибки {0} к категории: «{1}», так как он уже назначен «{2}»",编译面板：无法在类别中添加错误代码 {0}：'{1}'，因为它已经分配给 '{2}'
DiagnosticsTab_ConsoleMessage_WrongCategoryPath,Compilation panel: Couldn't find categories data at: {0},Панель компиляции: Не удалось найти категории данных по адресу: {0},编译面板：无法在以下位置找到类别数据：{0}
DiagnosticsTab_GroupBy,Group by:,Группа по:,分组依据：
DiagnosticsTab_Severity,Severity:,Критичность:,严重程度：
,,,
CodeSection_OpenSolution,Open Luna Solution,Открыть Luna решение,打开 Luna 解决方案
CodeSection_CompileSolution,Compile Solution,Скомпилировать решение,编译解决方案
CodeSection_RunDiagnostics,Run Diagnostics,Запустить диагностику,运行诊断程序
,,,
CodeExcludeTab_ForceExclude,Force-exclude C# files,Принудительно исключить файлы C #,强制排除 C# 文件
,,,
StubberTab_DeleteButtonTooltip,Remove the selected field from the list. You can't remove default fields.,Удалить выбранное поле из списка. Вы не можете удалить стандартные поля.,从列表中移除所选字段。您不能移除默认字段。
